zone,direction,n_2024,n_2025,pct_volume_change,avg_total_cost_2024,avg_total_cost_2025,avg_distance_2024,avg_distance_2025,low_n_flag
57,pickup,38,53,0.3947,40.34,47.24,7.414,8.41,true
58,dropoff,390,385,-0.0128,64.77,63.85,13.586,13.384,false
58,pickup,15,72,3.8,47.87,45.53,10.897,10.918,true
59,dropoff,87,73,-0.1609,58.02,51.7,9.501,10.249,true
59,pickup,20,12,-0.4,50.32,45.47,12.885,7.822,true
60,dropoff,1088,942,-0.1342,51.46,49.84,10.462,10.428,false
60,pickup,554,662,0.1949,38.8,39.42,8.895,9.261,false
61,dropoff,21101,22442,0.0636,46.47,44.95,8.801,8.448,false
61,pickup,5460,6673,0.2222,29.21,28.4,5.583,5.362,false
62,dropoff,6689,6872,0.0274,47.59,46.96,9.058,8.849,false
62,pickup,2040,2193,0.075,28.14,27.49,5.268,5.255,false
63,dropoff,2798,2912,0.0407,40.33,38.97,8.087,7.906,false
63,pickup,841,1042,0.239,36.77,35.51,7.076,7.001,false
64,dropoff,1900,1912,0.0063,56.8,56.64,12.533,12.666,false
64,pickup,181,147,-0.1878,53.54,45.55,9.132,10.786,false
65,dropoff,22597,22240,-0.0158,41.36,41.7,7.705,7.699,false
65,pickup,8287,7920,-0.0443,29.32,29.2,4.967,4.787,false
66,dropoff,20034,22478,0.122,35.6,35.8,6.136,6.102,false
66,pickup,3784,5479,0.4479,28.85,29.34,4.506,4.58,false
67,dropoff,1854,1867,0.007,64.74,61.94,14.081,13.316,false
67,pickup,368,402,0.0924,34.91,33.71,6.944,7.162,false
68,dropoff,391330,390934,-0.001,21.57,22.03,2.536,2.503,false
68,pickup,412169,410307,-0.0045,22.58,22.6,2.497,2.442,false
69,dropoff,4818,4694,-0.0257,44.94,44.29,8.588,8.561,false
69,pickup,1632,1966,0.2047,34.0,34.34,6.758,7.302,false
70,dropoff,7409,6916,-0.0665,39.41,40.34,6.621,6.407,false
70,pickup,66056,53998,-0.1825,57.58,58.3,9.585,9.43,false
71,dropoff,4099,4570,0.1149,44.86,41.37,8.857,8.088,false
71,pickup,2326,3040,0.307,29.14,28.32,5.495,5.337,false
72,dropoff,4601,4801,0.0435,42.1,40.14,8.515,8.101,false
72,pickup,2702,3190,0.1806,30.73,30.04,6.118,5.815,false
73,dropoff,911,850,-0.067,47.3,47.07,9.616,9.442,false
73,pickup,151,162,0.0728,39.71,41.34,8.775,8.934,false
74,dropoff,95192,88959,-0.0655,22.34,22.54,3.249,3.264,false
74,pickup,29854,29014,-0.0281,19.62,20.19,2.716,2.856,false
75,dropoff,171952,161527,-0.0606,20.4,20.75,2.71,2.725,false
75,pickup,85904,84102,-0.021,19.27,19.3,2.536,2.503,false
76,dropoff,9134,10417,0.1405,37.87,37.39,7.641,7.741,false
76,pickup,5290,6473,0.2236,35.27,35.88,7.099,7.659,false
77,dropoff,2155,2446,0.135,41.34,39.11,8.363,8.059,false
77,pickup,1179,1564,0.3265,34.19,34.37,7.065,7.344,false
78,dropoff,1674,1762,0.0526,50.64,49.9,10.344,10.484,false
78,pickup,936,1155,0.234,36.82,38.75,8.023,9.048,false
79,dropoff,303920,299723,-0.0138,21.1,21.85,2.542,2.548,false
79,pickup,339175,336267,-0.0086,19.89,20.28,2.358,2.307,false
80,dropoff,18450,18043,-0.0221,40.79,41.25,7.293,7.274,false
80,pickup,2374,2897,0.2203,33.72,35.28,5.169,4.998,false
81,dropoff,1219,1274,0.0451,64.4,63.25,14.224,14.531,false
81,pickup,578,838,0.4498,45.31,46.09,10.431,11.965,false
